BackSpace 
Armenian_BEN Բ
Armenian_ben բ
Armenian_GIM Գ
Armenian_gim գ
Armenian_DA Դ
Armenian_da դ
Armenian_YECH Ե
Armenian_yech ե
Armenian_ZA Զ
Armenian_za զ
Armenian_E Է
Armenian_e է
Armenian_AT Ը
Armenian_at ը
Armenian_TO Թ
Armenian_to թ
Armenian_ZHE Ժ
Armenian_zhe ժ
Armenian_INI Ի
Armenian_ini ի
Armenian_LYUN Լ
Armenian_lyun լ
Armenian_KHE Խ
Armenian_khe խ
Armenian_TSA Ծ
Armenian_tsa ծ
Armenian_KEN Կ
Armenian_ken կ
Armenian_HO Հ
Armenian_ho հ
Armenian_DZA Ձ
Armenian_dza ձ
Armenian_GHAT Ղ
Armenian_ghat ղ
Armenian_TCHE Ճ
Armenian_tche ճ
Armenian_MEN Մ
Armenian_men մ
Armenian_HI Յ
Armenian_hi յ
Armenian_NU Ն
Armenian_nu ն
Armenian_SHA Շ
Armenian_sha շ
Armenian_VO Ո
Armenian_vo ո
Armenian_CHA Չ
Armenian_cha չ
Armenian_PE Պ
Armenian_pe պ
Armenian_JE Ջ
Armenian_je ջ
Armenian_RA Ռ
Armenian_ra ռ
Armenian_SE Ս
Armenian_se ս
Armenian_VEV Վ
Armenian_vev վ
Armenian_TYUN Տ
Armenian_tyun տ
Armenian_RE Ր
Armenian_re ր
Armenian_TSO Ց
Armenian_tso ց
Armenian_VYUN Ւ
Armenian_vyun ւ
Armenian_PYUR Փ
Armenian_pyur փ
Armenian_KE Ք
Armenian_ke ք
Armenian_O Օ
Armenian_o օ
Armenian_FE Ֆ
Armenian_fe ֆ
Armenian_apostrophe ՚
Georgian_an ა
Georgian_ban ბ
Georgian_gan გ
Georgian_don დ
Georgian_en ე
Georgian_vin ვ
Georgian_zen ზ
Georgian_tan თ
Georgian_in ი
Georgian_kan კ
Georgian_las ლ
Georgian_man მ
Georgian_nar ნ
Georgian_on ო
Georgian_par პ
Georgian_zhar ჟ
Georgian_rae რ
Georgian_san ს
Georgian_tar ტ
Georgian_un უ
Georgian_phar ფ
Georgian_khar ქ
Georgian_ghan ღ
Georgian_qar ყ
Georgian_shin შ
Georgian_chin ჩ
Georgian_can ც
Georgian_jil ძ
Georgian_cil წ
Georgian_char ჭ
Georgian_xan ხ
Georgian_jhan ჯ
Georgian_hae ჰ
Georgian_he ჱ
Georgian_hie ჲ
Georgian_we ჳ
Georgian_har ჴ
Georgian_hoe ჵ
Georgian_fi ჶ
Xabovedot Ẋ
Ibreve Ĭ
Zstroke Ƶ
Gcaron Ǧ
Ocaron Ǒ
Obarred Ɵ
xabovedot ẋ
ibreve ĭ
zstroke ƶ
gcaron ǧ
ocaron ǒ
obarred ɵ
SCHWA Ə
schwa ə
EZH Ʒ
ezh ʒ
Lbelowdot Ḷ
lbelowdot ḷ
Abelowdot Ạ
abelowdot ạ
Ahook Ả
ahook ả
Acircumflexacute Ấ
acircumflexacute ấ
Acircumflexgrave Ầ
acircumflexgrave ầ
Acircumflexhook Ẩ
acircumflexhook ẩ
Acircumflextilde Ẫ
acircumflextilde ẫ
Acircumflexbelowdot Ậ
acircumflexbelowdot ậ
Abreveacute Ắ
abreveacute ắ
Abrevegrave Ằ
abrevegrave ằ
Abrevehook Ẳ
abrevehook ẳ
Abrevetilde Ẵ
abrevetilde ẵ
Abrevebelowdot Ặ
abrevebelowdot ặ
Ebelowdot Ẹ
ebelowdot ẹ
Ehook Ẻ
ehook ẻ
Etilde Ẽ
etilde ẽ
Ecircumflexacute Ế
ecircumflexacute ế
Ecircumflexgrave Ề
ecircumflexgrave ề
Ecircumflexhook Ể
ecircumflexhook ể
Ecircumflextilde Ễ
ecircumflextilde ễ
Ecircumflexbelowdot Ệ
ecircumflexbelowdot ệ
Ihook Ỉ
ihook ỉ
Ibelowdot Ị
ibelowdot ị
Obelowdot Ọ
obelowdot ọ
Ohook Ỏ
ohook ỏ
Ocircumflexacute Ố
ocircumflexacute ố
Ocircumflexgrave Ồ
ocircumflexgrave ồ
Ocircumflexhook Ổ
ocircumflexhook ổ
Ocircumflextilde Ỗ
ocircumflextilde ỗ
Ocircumflexbelowdot Ộ
ocircumflexbelowdot ộ
Ohornacute Ớ
ohornacute ớ
Ohorngrave Ờ
ohorngrave ờ
Ohornhook Ở
ohornhook ở
Ohorntilde Ỡ
ohorntilde ỡ
Ohornbelowdot Ợ
ohornbelowdot ợ
Ubelowdot Ụ
ubelowdot ụ
Uhook Ủ
uhook ủ
Uhornacute Ứ
uhornacute ứ
Uhorngrave Ừ
uhorngrave ừ
Uhornhook Ử
uhornhook ử
Uhorntilde Ữ
uhorntilde ữ
Uhornbelowdot Ự
uhornbelowdot ự
Ybelowdot Ỵ
ybelowdot ỵ
Yhook Ỷ
yhook ỷ
Ytilde Ỹ
ytilde ỹ
Ohorn Ơ
ohorn ơ
Uhorn Ư
uhorn ư
combining_tilde ̃
combining_grave ̀
combining_acute ́
combining_hook ̉
combining_belowdot ̣
EcuSign ₠
ColonSign ₡
CruzeiroSign ₢
FFrancSign ₣
LiraSign ₤
MillSign ₥
NairaSign ₦
PesetaSign ₧
RupeeSign ₨
WonSign ₩
NewSheqelSign ₪
DongSign ₫
EuroSign €
zerosuperior ⁰
foursuperior ⁴
fivesuperior ⁵
sixsuperior ⁶
sevensuperior ⁷
eightsuperior ⁸
ninesuperior ⁹
zerosubscript ₀
onesubscript ₁
twosubscript ₂
threesubscript ₃
foursubscript ₄
fivesubscript ₅
sixsubscript ₆
sevensubscript ₇
eightsubscript ₈
ninesubscript ₉
partdifferential ∂
emptyset ∅
elementof ∈
notelementof ∉
containsas ∋
squareroot √
